id_producto,nombre_producto,descripcion,tipo,talla,genero,color,precio_unitario,stock_disponible
84,Pantalón M,Deserunt dignissimos provident rerum.,Chaqueta,S,Mujer,Verde mar,32.6,264
85,Pantalón S,Tempora corrupti at libero cum hic.,Chaqueta,M,Mujer,Verde mar medio,60.04,268
86,Overol L,Laborum delectus eius culpa nihil mollitia odio.,Camisa,S,Hombre,Magenta,55.88,229
87,Overol L,Illo libero illum veritatis adipisci vero.,Overol,S,Unisex,Verde mar claro,49.93,300
88,Pantalón XL,Dignissimos pariatur tenetur vitae dolor.,Overol,L,Unisex,Rosa claro,93.6,322
89,Chaqueta M,Occaecati molestiae vel corporis.,Camisa,M,Hombre,Azul claro,95.99,60
90,Overol XL,Alias culpa optio neque ea exercitationem.,Overol,S,Unisex,Orquídea medio,39.02,133
91,Pantalón XL,Modi eveniet voluptas accusantium enim.,Pantalón,L,Hombre,Verde bosque,88.97,325
92,Camisa M,Similique eveniet ea.,Pantalón,XL,Mujer,Blanco,79.21,112
93,Camisa XL,Ipsa doloribus dolor vitae.,Chaqueta,S,Unisex,Turquesa pálido,85.88,189
94,Camisa L,Aperiam repudiandae iusto accusantium.,Camisa,M,Mujer,Beige,61.17,202
95,Overol M,Maiores non officiis maxime aperiam cumque.,Chaqueta,M,Mujer,Marrón caqui,96.1,116
96,Overol XL,Quos consequuntur nostrum dicta.,Camisa,L,Hombre,Cyan oscuro,52.7,103
97,Chaqueta S,Ipsam consequuntur quibusdam voluptatem veniam.,Camisa,M,Mujer,Almendra blanqueado,80.63,276
98,Overol L,Cum quaerat vel odio asperiores soluta nulla.,Camisa,L,Unisex,Agua-marina,58.12,85
99,Chaqueta L,Quam eaque id cupiditate repellat sapiente.,Pantalón,XL,Unisex,Amarillo dorado claro,39.46,69
100,Overol L,Maiores eaque repellat ad quisquam ullam.,Camisa,M,Hombre,Azul oscuro,75.93,308
101,Camisa XL,Necessitatibus quasi incidunt.,Chaqueta,L,Unisex,Verde primavera medio,67.03,202
102,Overol XL,Corrupti tempore est ullam illo.,Pantalón,L,Unisex,Granate,60.79,373
103,Overol M,Voluptatem fugiat voluptate commodi quia sunt.,Chaqueta,S,Unisex,Blanco floral,93.43,415
104,Chaqueta M,Aliquam nisi accusamus neque tempora fuga.,Pantalón,XL,Unisex,Amarillo verde,73.87,473
105,Overol S,Tempore dolorum quaerat a voluptatibus ea quo.,Overol,XL,Unisex,Amarillo dorado,66.08,489
106,Camisa XL,Quisquam voluptatibus dignissimos est.,Pantalón,M,Hombre,Caqui,42.61,80
107,Pantalón L,Debitis impedit totam exercitationem.,Pantalón,L,Hombre,Azul real,38.03,185
108,Camisa L,Laborum molestiae iure sunt est.,Chaqueta,S,Hombre,Marrón rojizo,42.83,312
109,Overol L,Illum neque praesentium dolore.,Chaqueta,L,Hombre,Blanco nieve,62.9,337
110,Overol M,Ipsa incidunt sint sed iusto.,Camisa,XL,Hombre,Blanco navajo,49.13,407
111,Camisa XL,Deleniti commodi voluptatum totam.,Camisa,XL,Mujer,Verde prado,45.04,337
112,Camisa XL,Nam dignissimos dignissimos.,Overol,XL,Mujer,Rosa brumoso,66.16,173
113,Chaqueta M,Dicta repellat rem voluptates accusamus.,Chaqueta,S,Hombre,Azul medianoche,98.69,295
114,Overol S,Amet enim voluptas neque soluta optio.,Overol,M,Unisex,Índigo,33.72,125
115,Camisa M,Porro hic voluptate quidem atque eligendi.,Camisa,M,Mujer,Amarillo claro,59.86,210
116,Overol M,Eligendi eum nihil.,Pantalón,M,Mujer,Azul cielo,41.73,434
117,Camisa M,Neque officia consequatur molestias a.,Camisa,L,Hombre,Marrón perú,99.73,165
118,Pantalón XL,Neque nihil quos nisi veritatis blanditiis.,Overol,S,Mujer,Púrpura medio,89.99,318
119,Chaqueta L,Reiciendis error quia temporibus ex atque.,Chaqueta,XL,Mujer,Turquesa,62.88,451
120,Camisa M,Maxime perspiciatis aperiam.,Chaqueta,XL,Mujer,Amarillo dorado claro,64.58,398
121,Chaqueta S,Quaerat adipisci nisi praesentium itaque ducimus.,Pantalón,M,Unisex,Agua marina medio,49.44,418
122,Overol L,Culpa earum placeat deleniti pariatur harum.,Camisa,XL,Mujer,Azul,96.68,68
123,Pantalón L,Consequatur impedit maiores maiores fugit ipsam.,Overol,XL,Mujer,Azul Alicia,98.35,447
124,Pantalón XL,Assumenda minima doloremque est at.,Chaqueta,L,Mujer,Gris oscuro,36.2,22
125,Overol XL,Quaerat sint ab doloribus.,Overol,M,Mujer,Amarillo claro,61.59,411
126,Pantalón XL,Quas natus sapiente blanditiis similique.,Pantalón,L,Hombre,Fucsia,40.65,386
127,Overol XL,Cumque odio ipsum saepe quas possimus.,Chaqueta,S,Hombre,Azul violeta,69.2,90
128,Camisa XL,Aperiam nulla totam inventore.,Overol,M,Mujer,Agua marina medio,75.18,482
129,Camisa XL,Dolorem eligendi doloribus.,Overol,S,Hombre,Gris gainsboro (Estaño),33.47,154
130,Camisa S,Tenetur qui dolor rerum quis.,Chaqueta,XL,Hombre,Gris,96.14,238
131,Pantalón L,Ad saepe voluptas deserunt.,Pantalón,L,Unisex,Verde mar claro,70.51,281
132,Pantalón M,Aperiam placeat quia voluptatum error rerum eos.,Pantalón,XL,Hombre,Orquídea púrpura oscuro,68.41,188
133,Pantalón M,Error porro culpa harum explicabo amet qui.,Camisa,S,Unisex,Blanco,94.91,470
134,Chaqueta L,Corrupti sunt totam unde.,Camisa,XL,Unisex,Amarillo trigo,39.43,180
135,Overol XL,Aperiam vel harum vitae culpa commodi.,Chaqueta,XL,Mujer,Amarillo,93.1,257
136,Camisa M,Praesentium quas maxime aliquid.,Camisa,M,Unisex,Blanco lavanda,66.77,23
137,Overol XL,Fugit pariatur illo quia.,Camisa,S,Unisex,Verde primavera,92.28,47
138,Pantalón XL,Occaecati maxime rem quibusdam.,Camisa,L,Mujer,Rosa caliente,80.24,10
139,Camisa XL,Nisi voluptas alias expedita optio est hic.,Camisa,M,Mujer,Magenta,77.34,461
140,Chaqueta S,Et facilis minus dolorem et temporibus harum.,Pantalón,S,Hombre,Blanco humo,62.08,223
141,Chaqueta XL,Animi rerum dolore eum eum a.,Chaqueta,M,Mujer,Azul medio,50.68,206
142,Overol M,Dicta reprehenderit quia ad eum.,Overol,S,Unisex,Gris,53.42,10
143,Camisa S,Quia distinctio amet laudantium optio provident.,Pantalón,XL,Mujer,Beige antiguo,80.49,97
144,Chaqueta XL,Id dignissimos inventore maiores.,Pantalón,XL,Hombre,Verde pálido,56.94,71
145,Overol M,Nam minima unde. Qui veniam quaerat iste.,Pantalón,L,Mujer,Blanco floral,55.07,477
146,Chaqueta XL,Voluptates dolores quae debitis.,Chaqueta,XL,Mujer,Orquídea medio,32.23,131
147,Pantalón XL,Fugit quam eaque iusto tenetur nihil.,Overol,L,Hombre,Amarillo dorado pálido,42.39,451
148,Pantalón M,Adipisci iusto maiores.,Chaqueta,L,Mujer,Rojo anaranjado,53.67,452
149,Overol S,Earum saepe at a doloribus.,Chaqueta,L,Mujer,Verde oscuro,34.38,333
150,Camisa XL,Deserunt voluptatem illo unde. Ab ullam dolor ad.,Camisa,L,Hombre,Granate,71.76,415
151,Camisa S,Quis eaque nisi voluptatibus aut magni.,Chaqueta,XL,Unisex,Azul real,90.01,53
152,Pantalón L,Quis ab placeat culpa nobis pariatur repudiandae.,Overol,S,Mujer,Púrpura,42.01,356
153,Pantalón L,Ex voluptatibus ducimus nobis ad quia.,Pantalón,XL,Mujer,Gris oscuro,37.22,409
154,Overol S,Autem quos quia. Doloribus eaque ex.,Camisa,M,Mujer,Coral claro,88.12,195
155,Pantalón L,Nihil ducimus nobis ullam sint.,Chaqueta,S,Hombre,Blanco floral,82.61,473
156,Chaqueta XL,Repellat culpa fuga sint laborum.,Chaqueta,M,Unisex,Verde claro,79.6,348
157,Overol L,Molestiae dolorem a ullam eius ab.,Chaqueta,S,Hombre,Azul medianoche,47.2,391
158,Overol M,Dolorem quibusdam cumque libero.,Pantalón,M,Mujer,Verde mar oscuro,41.53,126
159,Pantalón S,Tempore quibusdam est.,Pantalón,XL,Hombre,Coral claro,52.43,388
160,Chaqueta M,Dolorum quam iusto nihil.,Camisa,M,Unisex,Rojo violeta medio,95.78,124
161,Overol M,Quos aspernatur placeat blanditiis.,Camisa,XL,Mujer,Azul azur,88.49,156
162,Pantalón S,Facilis commodi beatae amet mollitia corrupti.,Chaqueta,L,Unisex,Púrpura,65.06,356
163,Chaqueta L,Repellendus consequuntur cum ea perspiciatis.,Camisa,XL,Mujer,Orquídea medio,51.39,57
164,Overol XL,Pariatur dicta eligendi modi dolores.,Overol,XL,Mujer,Verde oliva oscuro,68.98,355
165,Overol L,Quia soluta veniam quia aperiam iste.,Chaqueta,XL,Hombre,Rojo oscuro,86.6,330
166,Overol XL,Omnis expedita suscipit ipsum dolores cumque.,Chaqueta,XL,Mujer,Rojo violeta medio,92.03,209
167,Pantalón M,Ipsam quidem deserunt.,Camisa,L,Mujer,Rosa profundo,46.37,318
168,Chaqueta L,Omnis vero facilis vero praesentium pariatur.,Chaqueta,XL,Hombre,Cian clarto,90.05,487
169,Pantalón S,In aspernatur aliquid ex eius reiciendis totam.,Camisa,S,Mujer,Beige melocotón,72.29,121
170,Camisa S,Soluta ratione officia repellendus maxime.,Pantalón,L,Mujer,Amarillo claro,99.9,132
171,Pantalón L,Recusandae alias incidunt nobis corporis.,Overol,L,Mujer,Rojo anaranjado,40.79,84
172,Camisa L,Earum harum harum quisquam repellat suscipit.,Chaqueta,M,Mujer,Beige papaya,48.7,11
173,Camisa XL,Libero sequi quo.,Camisa,S,Hombre,Blanco menta,36.45,367
174,Pantalón XL,Consectetur et ipsum natus dolor exercitationem.,Camisa,L,Mujer,Blanco lavanda,89.85,357
175,Pantalón M,Cum maiores iusto deleniti unde sequi dolorem.,Chaqueta,XL,Mujer,Rosa claro,68.26,426
176,Overol M,Mollitia placeat enim nam quaerat.,Overol,S,Mujer,Azul cielo claro,38.84,488
177,Overol L,Laboriosam ex nisi repudiandae.,Pantalón,S,Unisex,Almendra blanqueado,41.13,494
178,Overol M,Ducimus ex fuga maxime suscipit.,Camisa,M,Hombre,Marrón siena,82.23,443
179,Chaqueta L,Asperiores deleniti quia.,Overol,M,Mujer,Chartreuse,83.91,177
180,Overol S,Dignissimos sequi suscipit rerum.,Camisa,XL,Hombre,Coral,56.76,178
181,Camisa L,A ipsum reiciendis ea.,Pantalón,L,Hombre,Azul cadete,67.61,317
182,Pantalón S,Ullam dicta aspernatur maxime.,Chaqueta,XL,Hombre,Blanco humo,64.28,57
183,Chaqueta M,Iusto voluptatibus doloribus iusto.,Overol,M,Unisex,Azul cielo claro,76.05,415
184,Chaqueta S,Quisquam occaecati eligendi nam.,Pantalón,S,Hombre,Rojo anaranjado,62.88,125
185,Camisa S,Quam enim magni aut accusamus.,Chaqueta,M,Mujer,Blanco encaje,88.45,188
186,Pantalón S,Quidem dolore earum.,Chaqueta,L,Hombre,Melón dulce,85.14,218
187,Pantalón XL,Animi necessitatibus dolorem debitis.,Overol,S,Hombre,Azul real,86.42,26
188,Overol XL,Accusantium voluptas pariatur id asperiores.,Camisa,M,Hombre,Rosa brumoso,49.92,72
189,Camisa S,Rerum in illo fugiat eum.,Chaqueta,M,Hombre,Fucsia,76.58,463
190,Camisa L,Cupiditate cupiditate tenetur dolorum quisquam.,Camisa,M,Hombre,Azul pizarra oscuro,90.0,401
191,Overol M,Cupiditate hic consectetur nemo non eos ut.,Chaqueta,L,Unisex,Azul cielo claro,69.05,390
192,Camisa M,Sint quae veritatis est rem commodi quo.,Overol,L,Mujer,Púrpura,57.34,351
193,Camisa S,A quia facere ullam.,Overol,M,Unisex,Plata,80.85,119
194,Chaqueta S,Expedita aperiam a qui.,Camisa,S,Unisex,Verde pálido,33.54,279
195,Camisa L,Dolor recusandae consectetur eius maiores.,Overol,XL,Hombre,Amarillo dorado claro,70.64,311
196,Overol M,Modi at dolore voluptatibus vitae magnam.,Overol,M,Unisex,Verde mar claro,38.05,271
197,Pantalón L,Ab quos quas a nostrum sapiente error.,Overol,S,Mujer,Magenta oscuro,51.95,381
198,Chaqueta M,Blanditiis ipsum modi.,Chaqueta,S,Unisex,Amarillo,63.46,377
199,Camisa M,Sit commodi placeat perspiciatis ut.,Camisa,S,Hombre,Gris claro,72.71,291
200,Chaqueta XL,Ab voluptas labore assumenda.,Camisa,M,Unisex,Coral claro,43.65,197
201,Chaqueta M,Deleniti in a sit.,Camisa,M,Unisex,Verde,30.15,87
202,Pantalón M,Error adipisci rem.,Overol,L,Mujer,Blanco floral,35.0,139
203,Pantalón S,Cumque iure doloremque laborum natus ut.,Camisa,XL,Mujer,Azul,58.6,142
204,Pantalón XL,Quis odit id at.,Pantalón,L,Mujer,Cian clarto,39.01,109
205,Chaqueta S,Omnis eaque itaque dolore sit consequatur quas.,Pantalón,S,Hombre,Púrpura medio,30.86,200
206,Chaqueta M,Inventore quo asperiores rerum.,Pantalón,M,Hombre,Azul acero claro,96.25,136
207,Chaqueta L,Sequi eligendi nemo illum.,Pantalón,M,Mujer,Chartreuse,59.88,401
208,Chaqueta L,Ea ab facere reprehenderit possimus nihil.,Camisa,M,Mujer,Gris pizarra claro,37.28,444
209,Overol S,Facere cumque atque iste architecto alias.,Overol,S,Unisex,Amarillo trigo,72.73,195
210,Camisa L,Placeat sed eos alias.,Chaqueta,M,Mujer,Orquídea púrpura oscuro,55.17,289
211,Camisa M,Quidem dolores nulla veniam.,Overol,L,Mujer,Rojo tomate,69.49,22
212,Overol L,Laudantium velit illum voluptatibus.,Camisa,M,Unisex,Turquesa,63.01,457
213,Overol S,Quaerat optio sint iure earum accusantium cum.,Pantalón,S,Hombre,Turquesa oscuro,84.03,490
214,Chaqueta S,Veritatis facere omnis quos tempore animi.,Overol,S,Unisex,Marrón perú,98.87,72
215,Chaqueta S,Molestiae asperiores quo quis doloremque ducimus.,Overol,M,Unisex,Azul cielo,89.73,184
216,Overol L,Corrupti ipsa vitae doloremque harum esse.,Pantalón,L,Unisex,Azul anciano,68.37,182
217,Camisa M,Magnam corporis recusandae mollitia voluptas.,Pantalón,L,Hombre,Rojo,85.24,343
218,Pantalón XL,Perferendis molestias excepturi fugiat.,Camisa,XL,Mujer,Blanco encaje,93.42,76
219,Pantalón L,Accusantium dignissimos architecto repellendus.,Chaqueta,S,Hombre,Lavanda,86.92,350
220,Camisa M,Aliquam consequuntur sunt cum est voluptas.,Pantalón,S,Mujer,Caqui oscuro,36.71,346
221,Camisa XL,Sunt aspernatur ducimus eius quidem.,Overol,M,Mujer,Melón dulce,40.52,118
222,Pantalón M,Eaque impedit doloremque.,Camisa,S,Mujer,Amarillo trigo,83.55,393
223,Overol M,Dignissimos at eum quibusdam id.,Pantalón,S,Mujer,Azul medianoche,53.25,483
224,Overol L,Nostrum cum quae tempora necessitatibus.,Camisa,XL,Hombre,Azul cielo profundo,57.62,137
225,Overol L,Repudiandae nam nostrum at.,Chaqueta,L,Mujer,Índigo,59.43,247
226,Camisa L,Commodi occaecati in amet.,Camisa,L,Hombre,Rosa brumoso,68.01,197
227,Pantalón M,Voluptatem iusto earum tempore.,Overol,M,Unisex,Almendra blanqueado,37.37,123
228,Pantalón S,Tempora vero tempora iste error.,Chaqueta,L,Mujer,Agua-marina,42.95,216
229,Pantalón XL,Rem ipsa officiis odit impedit amet laborum.,Pantalón,XL,Mujer,Turquesa oscuro,74.96,223
230,Pantalón S,Nobis vitae deserunt dolorum minima nobis esse.,Chaqueta,XL,Hombre,Plata,49.2,195
231,Overol L,Fugit consequatur ad assumenda.,Overol,M,Hombre,Magenta oscuro,68.43,153
232,Camisa L,Porro aliquid amet. Assumenda commodi quam ex.,Camisa,M,Unisex,Coral,51.7,49
233,Pantalón XL,Sapiente corrupti minus modi.,Pantalón,L,Mujer,Coral claro,84.44,230
234,Chaqueta M,Ullam nesciunt vero similique.,Pantalón,S,Hombre,Verde prado,84.13,142
235,Pantalón XL,Vero deleniti eaque aperiam consequuntur.,Camisa,XL,Hombre,Azul cadete,36.98,470
236,Chaqueta XL,Vitae vero illum magni impedit laudantium.,Camisa,S,Unisex,Rojo anaranjado,43.72,107
237,Pantalón L,In provident maxime harum esse.,Overol,M,Hombre,Blanco fantasma,30.5,36
238,Camisa XL,Incidunt odio unde esse veritatis dignissimos.,Pantalón,XL,Unisex,Salmón claro,94.13,444
239,Pantalón XL,Odio harum sed atque quos.,Pantalón,S,Hombre,Amarillo claro,35.5,248
240,Overol M,Labore quo consectetur temporibus.,Overol,L,Unisex,Fucsia,93.75,323
241,Camisa L,Dolorum vitae libero.,Overol,L,Unisex,Melón dulce,62.73,347
242,Chaqueta L,Non blanditiis mollitia minima dolore eos.,Chaqueta,L,Hombre,Rosa brumoso,37.7,489
243,Chaqueta M,Tempora consequatur laborum impedit consectetur.,Pantalón,XL,Mujer,Rojo indio,76.03,332
244,Chaqueta M,Eveniet voluptatum odit non qui fugiat ex.,Chaqueta,M,Hombre,Amarillo claro,73.58,86
245,Camisa S,Sapiente optio tempore libero.,Pantalón,L,Mujer,Amarillo verde,55.29,101
246,Camisa L,Consequatur amet porro unde optio omnis ex culpa.,Camisa,S,Hombre,Amarillo verde,44.13,354
247,Overol M,Vero perspiciatis aut ea quasi veniam tempore.,Chaqueta,S,Mujer,Naranja oscuro,50.41,200
248,Pantalón L,Accusamus enim quam sed. At eveniet soluta iure.,Camisa,L,Mujer,Amarillo dorado oscuro,64.67,322
249,Pantalón L,Dolor adipisci iure nostrum expedita harum.,Camisa,S,Mujer,Blanco menta,54.87,38
250,Camisa L,Nulla pariatur nostrum.,Overol,M,Hombre,Gris gainsboro (Estaño),86.1,453
251,Pantalón L,Id dolorum nobis reiciendis ut ea.,Pantalón,S,Hombre,Marrón arena,93.8,227
252,Camisa M,Sunt quae odio iusto adipisci illum ad.,Camisa,M,Unisex,Blanco menta,83.85,169
253,Overol M,Maiores veritatis eaque ex et perspiciatis.,Camisa,M,Unisex,Marrón cuero,52.47,431
254,Chaqueta XL,Eum consectetur praesentium labore.,Camisa,M,Unisex,Oliva,30.11,300
255,Camisa M,Modi doloribus amet doloremque at.,Overol,M,Unisex,Rosa claro,63.73,413
256,Overol XL,Libero quos vel eius dicta.,Pantalón,M,Hombre,Azul azur,47.68,66
257,Chaqueta M,Eaque quis facere cum magni unde blanditiis.,Overol,S,Unisex,Gris pizarra,98.92,243
258,Camisa S,Dolore nulla illum maxime unde deserunt.,Camisa,L,Unisex,Marrón madera rústica,68.7,32
259,Overol L,Libero eveniet blanditiis distinctio.,Camisa,S,Hombre,Almendra blanqueado,94.46,447
260,Chaqueta M,Facere natus quaerat.,Camisa,L,Hombre,Amarillo dorado oscuro,66.73,432
261,Pantalón M,Aspernatur iste at quam debitis earum.,Overol,L,Unisex,Azul cielo claro,38.78,127
262,Chaqueta XL,Mollitia officiis quos ducimus aliquid tempora.,Pantalón,L,Unisex,Azul pizarra oscuro,77.84,453
263,Pantalón L,Aliquam voluptates quidem.,Camisa,S,Mujer,Cian clarto,65.51,331
